N,ShaderType,Backend,ExecMs,OverheadMs,TotalMs
1000,simple,llvmpipe,0,0,0
1000,simple,swiftshader,0,9,9
1000,simple,omp,0,0,0
10000,simple,llvmpipe,0,0,0
10000,simple,swiftshader,0,12,12
10000,simple,omp,0,0,0
50000,simple,llvmpipe,0,0,0
50000,simple,swiftshader,0,9,9
50000,simple,omp,0,0,0
100000,simple,llvmpipe,0,0,0
100000,simple,swiftshader,0,9,9
100000,simple,omp,0,0,0
1000,complex,llvmpipe,13,1,14
1000,complex,swiftshader,0,17,17
1000,complex,omp,51,0,51
10000,complex,llvmpipe,15,1,16
10000,complex,swiftshader,0,18,18
10000,complex,omp,516,0,516
50000,complex,llvmpipe,54,0,54
50000,complex,swiftshader,0,34,34
50000,complex,omp,2605,0,2605
100000,complex,llvmpipe,116,1,117
100000,complex,swiftshader,0,29,29
100000,complex,omp,5092,0,5092
